day_index,split_code,intercept,incentive,wip,no_of_workers,over_time,smv,style_change,series
37,0,0.8984730598286126,-0.11335152182886638,0.41974291864713315,0.39198571158944395,-0.04757535957498915,-0.3025172752046447,0.02933776212862183,4__1
38,0,0.9013511523689659,-0.11467336749226319,0.42014694110829964,0.3919455993232876,-0.04759204056697412,-0.30238616672075125,0.029388692406949798,4__1
39,0,0.9262204007274171,-0.12598661207339631,0.4236726851677725,0.3913990641958386,-0.047738131346207656,-0.3012078299123395,0.02982790762828069,4__1
40,0,0.9305118329923947,-0.125205018442169,0.4241152310910762,0.39131221914572384,-0.0477263527532462,-0.3009312387704934,0.02989666985689485,4__1
41,1,0.93659059575925,-0.12391546822658679,0.4248404363667621,0.39115572074397315,-0.04787586023656508,-0.30046695839217896,0.029980939827660667,4__1
42,1,0.9378080763945053,-0.12345420370611734,0.4249560340532152,0.3911381866587731,-0.047868292358650616,-0.30038379129424525,0.029999753204403595,4__1
43,1,0.939284738521267,-0.12289932618553931,0.4251247468216663,0.3911185455360872,-0.04786268036281733,-0.3002801610762814,0.03002248826584883,4__1
44,1,0.9515916159483025,-0.12188391305785799,0.42652602860465283,0.3909841862295322,-0.04783455233528217,-0.2995512750811117,0.0302202158212931,4__1
45,1,0.9584716604332872,-0.12029794753969406,0.4272920533154927,0.3909108446533551,-0.04781241959457473,-0.29911208611347273,0.030327384676982518,4__1
46,1,0.9688640269655024,-0.11790466563773382,0.42585541006595035,0.39138795573984875,-0.047804300471404146,-0.29878677817461563,0.030455851990200636,4__1
47,1,0.9537008675163927,-0.11771954600412968,0.4263603800321013,0.3911950808954139,-0.04787784999174065,-0.29934702907571237,0.02988071747472969,4__1
48,1,0.9394792935287504,-0.11566192257256223,0.4259918214437477,0.3911181732367898,-0.04791670521550296,-0.29962177370790694,0.029359774692769968,4__1
49,1,0.9343789882685836,-0.1151431039373375,0.42567109167225625,0.3910591466994603,-0.04790576603083687,-0.2997421650798197,0.02940558083748831,4__1
50,2,0.9328895146026859,-0.11566215437063128,0.4255494817847014,0.3910458376189185,-0.04791008723746083,-0.29979130992658914,0.02943259451543585,4__1
